senderAddress,recipientAddress,sentTimestamp,subject,policyTypes,policyNames,deliveryMethod
sender1@sender1.com,receiver1@receiver1.com,12/10/2018 4:22,Hello 1,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender2@sender2.com,receiver2@receiver2.com,30/10/2018 2:23,Hello 2,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender3@sender3.com,receiver3@receiver3.com,26/10/2018 9:15,Hello 3,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender4@sender4.com,receiver4@receiver4.com,1/10/2018 3:1,Hello 4,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender5@sender5.com,receiver5@receiver5.com,13/10/2018 6:18,Hello 5,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender5@sender5.com,receiver5@receiver5.com,13/10/2018 6:18,Hello 5,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender5@sender5.com,receiver5@receiver5.com,13/10/2018 6:18,Hello 5,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender5@sender5.com,receiver5@receiver5.com,13/10/2018 6:18,Hello 5,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender5@sender5.com,receiver5@receiver5.com,13/10/2018 6:18,Hello 5,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender6@sender6.com,receiver6@receiver6.com,15/10/2018 4:34,Hello 6,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender7@sender7.com,receiver7@receiver7.com,18/10/2018 3:36,Hello 7,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender8@sender8.com,receiver8@receiver8.com,7/10/2018 9:25,Hello 8,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender9@sender9.com,receiver9@receiver9.com,28/10/2018 8:21,Hello 9,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender10@sender10.com,receiver10@receiver10.com,29/10/2018 7:38,Hello 10,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender11@sender11.com,receiver11@receiver11.com,2/10/2018 1:4,Hello 11,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender12@sender12.com,receiver12@receiver12.com,12/10/2018 10:11,Hello 12,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender13@sender13.com,receiver13@receiver13.com,28/10/2018 8:15,Hello 13,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender14@sender14.com,receiver14@receiver14.com,7/10/2018 2:37,Hello 14,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender15@sender15.com,receiver15@receiver15.com,5/10/2018 4:38,Hello 15,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender16@sender16.com,receiver16@receiver16.com,28/10/2018 11:55,Hello 16,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender21@sender21.com,receiver21@receiver21.com,12/10/2018 4:22,Hello 21,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender22@sender22.com,receiver22@receiver22.com,30/10/2018 2:23,Hello 22,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender23@sender23.com,receiver23@receiver23.com,26/10/2018 9:15,Hello 23,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender24@sender24.com,receiver24@receiver24.com,1/10/2018 3:1,Hello 24,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender25@sender25.com,receiver25@receiver25.com,13/10/2018 6:18,Hello 25,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender25@sender25.com,receiver25@receiver25.com,13/10/2018 6:18,Hello 25,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender25@sender25.com,receiver25@receiver25.com,13/10/2018 6:18,Hello 25,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender25@sender25.com,receiver25@receiver25.com,13/10/2018 6:18,Hello 25,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender25@sender25.com,receiver25@receiver25.com,13/10/2018 6:18,Hello 25,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender26@sender26.com,receiver26@receiver26.com,15/10/2018 4:34,Hello 26,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender27@sender27.com,receiver27@receiver27.com,18/10/2018 3:36,Hello 27,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender28@sender28.com,receiver28@receiver28.com,7/10/2018 9:25,Hello 28,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender29@sender29.com,receiver29@receiver29.com,28/10/2018 8:21,Hello 29,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender30@sender30.com,receiver30@receiver30.com,29/10/2018 7:38,Hello 30,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender31@sender31.com,receiver31@receiver31.com,2/10/2018 1:4,Hello 31,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender32@sender32.com,receiver32@receiver32.com,12/10/2018 10:11,Hello 32,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender33@sender33.com,receiver33@receiver33.com,28/10/2018 8:15,Hello 33,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender34@sender34.com,receiver34@receiver34.com,7/10/2018 2:37,Hello 34,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender35@sender35.com,receiver35@receiver35.com,5/10/2018 4:38,Hello 35,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender36@sender36.com,receiver36@receiver36.com,28/10/2018 11:55,Hello 36,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender37@sender37.com,receiver37@receiver37.com,20/10/2018 10:10,Hello 37,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
sender38@sender38.com,receiver38@receiver38.com,2/10/2018 10:54,Hello 38,"PolicyType1, PolicyType2","PolicyName1, PolicyName2",ZixPort
